,Highest,Open,Close
0,52920.0,52666.2,46863.73
0,47340.99,46868.57,46048.31
0,47399.97,46048.31,46395.14
0,47033.0,46395.14,44850.91
0,45987.93,44842.2,45173.69
0,46460.0,45173.68,46025.24
0,46880.0,46025.23,44940.73
0,47250.0,44940.72,47111.52
0,48500.0,47103.28,48121.41
0,48557.0,48121.4,47737.82
0,48150.0,47737.81,47299.98
0,48843.2,47299.98,48292.74
0,48372.83,48292.75,47241.75
0,47347.25,47241.75,43015.62
0,43639.0,43016.64,40734.38
0,44000.55,40734.09,43543.61
0,44978.0,43546.37,44865.26
0,45200.0,44865.26,42810.57
0,42966.84,42810.58,42670.64
0,43950.0,42670.63,43160.9
0,44350.0,43160.9,42147.35
0,42787.38,42147.35,41026.54
0,42590.0,41025.01,41524.28
0,44141.37,41524.29,43824.1
0,48495.0,43820.01,48141.61
0,48336.59,48141.6,47634.9
0,49228.08,47634.89,48200.01
0,49536.12,48200.01,49224.94
0,51886.3,49224.93,51471.99
0,55750.0,51471.99,55315.0
0,55332.31,55315.0,53785.22
0,56100.0,53785.22,53951.43
0,55489.0,53955.67,54949.72
0,56561.31,54949.72,54659.0
0,57839.04,54659.01,57471.35
0,57680.0,57471.35,55996.93
0,57777.0,55996.91,57367.0
0,58532.54,57370.83,57347.94
0,62933.0,57347.94,61672.42
0,62378.42,61672.42,60875.57
0,61718.39,60875.57,61528.33
0,62695.78,61528.32,62009.84
0,64486.0,62005.6,64280.59
0,67000.0,64280.59,66001.41
0,66639.74,66001.4,62193.15
0,63732.39,62193.15,60688.22
0,61747.64,60688.23,61286.75
0,61500.0,61286.75,60852.22
0,63710.63,60852.22,63078.78
0,63293.48,63078.78,60328.81
0,61496.0,60328.81,58413.44
0,62499.0,58413.44,60575.89
0,62980.0,60575.9,62253.71
0,62359.25,62253.7,61859.19
0,62405.3,61859.19,61299.8
0,62437.74,61299.81,60911.11
0,64270.0,60911.12,63219.99
0,63500.0,63220.57,62896.48
0,63086.31,62896.49,61395.01
0,62595.72,61395.01,60937.12
0,61560.49,60940.18,61470.61
0,63286.35,61470.62,63273.59
0,67789.0,63273.58,67525.83
0,68524.25,67525.82,66947.66
0,69000.0,66947.67,64882.43
0,65600.07,64882.42,64774.26
0,65450.7,64774.25,64122.23
0,65000.0,64122.22,64380.0
0,65550.51,64380.01,65519.1
0,66401.82,65519.11,63606.74
0,63617.31,63606.73,60058.87
0,60840.23,60058.87,60344.87
0,60976.0,60344.86,56891.62
0,58320.0,56891.62,58052.24
0,59845.0,58057.1,59707.51
0,60029.76,59707.52,58622.02
0,59444.0,58617.7,56247.18
0,58009.99,56243.83,57541.27
0,57735.0,57541.26,57138.29
0,59398.9,57138.29,58960.36
0,59150.0,58960.37,53726.53
0,55280.0,53723.72,54721.03
0,57445.05,54716.47,57274.88
0,58865.97,57274.89,57776.25
0,59176.99,57776.25,56950.56
0,59053.55,56950.56,57184.07
0,57375.47,57184.07,56480.34
0,57600.0,56484.26,53601.05
0,53859.1,53601.05,49152.47
0,49699.05,49152.46,49396.33
0,50891.11,49396.32,50441.92
0,51936.33,50441.91,50588.95
0,51200.0,50588.95,50471.19
0,50797.76,50471.19,47545.59
0,50125.0,47535.9,47140.54
0,49485.71,47140.54,49389.99
0,50777.0,49389.99,50053.9
0,50189.97,50053.9,46702.75
0,48700.41,46702.76,48343.28
0,49500.0,48336.95,48864.98
0,49436.43,48864.98,47632.38
0,47995.96,47632.38,46131.2
0,47392.37,46133.83,46834.48
0,48300.01,46834.47,46681.23
0,47537.57,46681.24,46914.16
0,49328.96,46914.17,48889.88
0,49576.13,48887.59,48588.16
0,51375.0,48588.17,50838.81
0,51810.0,50838.82,50820.0
0,51156.23,50819.99,50399.66
0,51280.0,50399.67,50775.49
0,52088.0,50775.48,50701.44
0,50704.05,50701.44,47543.74
0,48139.08,47543.74,46464.66
0,47900.0,46464.66,47120.87
0,48548.26,47120.88,46216.93
0,47954.63,46216.93,47722.65
0,47990.0,47722.66,47286.18
0,47570.0,47286.18,46446.1
0,47557.54,46446.1,45832.01
0,47070.0,45832.01,43451.13
0,43816.0,43451.14,43082.31
0,43145.83,43082.3,41566.48
0,42300.0,41566.48,41679.74
0,42786.7,41679.74,41864.62
0,42248.5,41864.62,41822.49
0,43100.0,41822.49,42729.29
0,44322.0,42729.29,43902.66
0,44500.0,43902.65,42560.11
0,43448.78,42558.35,43059.96
0,43800.0,43059.96,43084.29
0,43475.0,43084.29,43071.66
0,43176.18,43071.66,42201.62
0,42691.0,42201.63,42352.12
0,42559.13,42352.12,41660.01
0,43505.0,41660.0,40680.91
0,41100.0,40680.92,36445.31
0,36835.22,36445.31,35071.42
0,36499.0,35071.42,36244.55
0,37550.0,36244.55,36660.35
0,37545.14,36660.35,36958.32
0,38919.98,36958.32,36809.34
0,37234.47,36807.24,37160.1
0,38000.0,37160.11,37716.56
0,38720.74,37716.57,38166.84
0,38359.26,38166.83,37881.76
0,38744.0,37881.75,38466.9
0,39265.2,38466.9,38694.59
0,38855.92,38694.59,36896.36
0,37387.0,36896.37,37311.61
0,41772.33,37311.98,41574.25
0,41913.69,41571.7,41382.59
0,42656.0,41382.6,42380.87
0,44500.5,42380.87,43839.99
0,45492.0,43839.99,44042.99
0,44799.0,44043.0,44372.72
0,45821.0,44372.71,43495.44
0,43920.0,43495.44,42373.73
0,43079.49,42373.73,42217.87
0,42760.0,42217.87,42053.66
0,42842.4,42053.65,42535.94
0,44751.4,42535.94,44544.86
0,44549.97,44544.85,43873.56
0,44164.71,43873.56,40515.7
0,40959.88,40515.71,39974.44
0,40444.32,39974.45,40079.17
0,40125.44,40079.17,38386.89
0,39494.35,38386.89,37008.16
0,38429.0,37008.16,38230.33
0,39249.93,38230.33,37250.01
0,39843.0,37250.02,38327.21
0,39683.53,38328.68,39219.17
0,40348.45,39219.16,39116.72
0,39855.7,39116.73,37699.07
0,44225.84,37699.08,43160.0
0,44949.0,43160.0,44421.2
0,45400.0,44421.2,43892.98
0,44101.12,43892.99,42454.0
0,42527.3,42454.0,39148.66
0,39613.24,39148.65,39397.96
0,39693.87,39397.97,38420.81
0,39547.57,38420.8,37988.0
0,39362.08,37988.01,38730.63
0,42594.06,38730.63,41941.71
0,42039.63,41941.7,39422.0
0,40236.26,39422.01,38729.57
0,39486.71,38729.57,38807.36
0,39310.0,38807.35,37777.34
0,39947.12,37777.35,39671.37
0,39887.61,39671.37,39280.33
0,41718.0,39280.33,41114.0
0,41478.82,41114.01,40917.9
0,42325.02,40917.89,41757.51
0,42400.0,41757.51,42201.13
0,42296.26,42201.13,41262.11
0,41544.22,41262.11,41002.25
0,43361.0,41002.26,42364.13
0,43025.96,42364.13,42882.76
0,44220.89,42882.76,43991.46
0,45094.14,43991.46,44313.16
0,44792.99,44313.16,44511.27
0,46999.0,44511.27,46827.76
0,48189.84,46827.76,47122.21
0,48096.47,47122.21,47434.8
0,47700.22,47434.79,47067.99
0,47600.0,47067.99,45510.34
0,46720.09,45510.35,46283.49
0,47213.0,46283.49,45811.0
0,47444.11,45810.99,46407.35
0,46890.71,46407.36,46580.51
0,47200.0,46580.5,45497.55
0,45507.14,45497.54,43170.47
0,43900.99,43170.47,43444.19
0,43970.62,43444.2,42252.01
0,42800.0,42252.02,42753.97
0,43410.3,42753.96,42158.85
0,42414.71,42158.85,39530.45
0,40699.0,39530.45,40074.94
0,41561.31,40074.95,41147.79
0,41500.0,41147.78,39942.38
0,40870.36,39942.37,40551.9
0,40709.35,40551.9,40378.71
0,40595.67,40378.7,39678.12
0,41116.73,39678.11,40801.13
0,41760.0,40801.13,41493.18
0,42199.0,41493.19,41358.19
0,42976.0,41358.19,40480.01
0,40795.06,40480.01,39709.18
0,39980.0,39709.19,39441.6
0,39940.0,39441.61,39450.13
0,40616.0,39450.12,40426.08
0,40797.31,40426.08,38112.65
0,39474.72,38112.64,39235.72
0,40372.63,39235.72,39742.07
0,39925.25,39742.06,38596.11
0,38795.38,38596.11,37630.8
0,38675.0,37630.8,38468.35
0,39167.34,38468.35,38525.16
0,38651.51,38525.16,37728.95
0,40023.77,37728.95,39690.0
0,39845.51,39690.0,36552.97
0,36675.63,36552.97,36013.77
0,36146.3,36013.77,35472.39
0,35514.22,35472.4,34038.4
0,34243.15,34038.39,30076.31
0,32658.99,30074.23,31017.1
0,32162.59,31017.11,29103.94
0,30243.0,29103.94,29029.75
0,31083.37,29029.74,29287.05
0,30343.27,29287.05,30086.74
0,31460.0,30086.74,31328.89
0,31328.9,31328.89,29874.01
0,30788.37,29874.01,30444.93
0,30709.99,30444.93,28715.32
0,30545.18,28715.33,30319.23
0,30777.33,30319.22,29201.01
0,29656.18,29201.01,29445.06
0,30487.99,29445.07,30293.94
0,30670.51,30293.93,29109.15
0,29845.86,29109.14,29654.58
0,30223.74,29654.58,29542.15
0,29886.64,29542.14,29201.35
0,29397.66,29201.35,28629.8
0,29266.0,28629.81,29031.33
0,29587.78,29031.33,29468.1
0,32222.0,29468.1,31734.22
0,32399.0,31734.23,31801.04
0,31982.97,31801.05,29805.83
0,30689.0,29805.84,30452.62
0,30699.0,30452.63,29700.21
0,29988.88,29700.21,29864.04
0,30189.0,29864.03,29919.21
0,31765.64,29919.2,31373.1
0,31589.6,31373.1,31125.33
0,31327.22,31125.32,30204.77
0,30700.0,30204.77,30109.93
0,30382.8,30109.93,29091.88
0,29440.41,29091.87,28424.7
0,28544.96,28424.71,26574.53
0,26895.84,26574.53,22487.41
0,23362.88,22485.27,22136.41
0,22800.0,22136.42,22583.72
0,22995.73,22583.72,20401.31
0,21365.43,20400.6,20468.81
0,20792.06,20468.81,18970.79
0,20815.95,18970.79,20574.0
0,21090.0,20574.0,20573.89
0,21723.0,20573.9,20723.52
0,20900.0,20723.51,19987.99
0,21233.0,19988.0,21110.13
0,21558.41,21110.12,21237.69
0,21614.5,21237.68,21491.19
0,21888.0,21491.18,21038.07
0,21539.85,21038.08,20742.56
0,21212.1,20742.57,20281.29
0,20432.31,20281.28,20123.01
0,20179.08,20123.0,19942.21
0,20918.35,19942.21,19279.8
0,19467.39,19279.8,19252.81
0,19647.63,19252.82,19315.83
0,20354.01,19315.83,20236.71
0,20750.0,20236.71,20175.83
0,20675.22,20175.84,20564.51
0,21838.1,20564.51,21624.98
0,22527.37,21624.99,21594.75
0,21980.0,21594.75,21591.83
0,21607.65,21592.15,20862.47
0,20868.48,20861.11,19963.61
0,20059.42,19963.61,19328.75
0,20366.61,19331.28,20234.87
0,20900.0,20234.87,20588.84
0,21200.0,20588.84,20830.04
0,21588.94,20830.04,21195.6
0,21684.54,21195.6,20798.16
0,22777.63,20799.58,22432.58
0,23800.0,22432.58,23396.62
0,24276.74,23398.48,23223.3
0,23442.77,23223.3,23152.19
0,23756.49,23152.19,22684.83
0,23000.77,22684.83,22451.07
0,23014.64,22448.58,22579.68
0,22666.0,22577.13,21310.9
0,21347.82,21310.9,21254.67
0,23112.63,21254.67,22952.45
0,24199.72,22954.31,23842.93
0,24442.66,23845.25,23773.75
0,24668.0,23777.28,23643.51
