,Highest,Open,Close
0,2138.12,2133.69,2008.52
0,2091.83,2008.59,2075.69
0,2130.64,2075.7,2107.38
0,2151.0,2107.43,2112.21
0,2129.01,2112.22,1963.47
0,2084.61,1963.46,2080.46
0,2100.0,2080.39,2066.87
0,2200.0,2067.19,2133.49
0,2165.02,2133.49,2151.36
0,2203.46,2151.42,2137.69
0,2318.0,2137.86,2299.19
0,2447.29,2299.19,2432.6
0,2543.47,2432.59,2514.04
0,2548.29,2514.04,2422.67
0,2495.0,2422.38,2317.6
0,2340.0,2317.65,2235.64
0,2300.0,2235.65,2161.12
0,2346.62,2161.12,2330.03
0,2469.54,2330.26,2357.06
0,2644.47,2357.06,2397.94
0,2442.89,2397.94,2367.39
0,2368.74,2367.39,2213.35
0,2356.64,2214.08,2320.49
0,2542.8,2320.44,2532.6
0,2680.0,2532.06,2666.13
0,2760.0,2666.13,2748.24
0,2798.0,2748.23,2757.04
0,2798.3,2757.04,2772.42
0,2954.28,2772.42,2944.77
0,2985.0,2944.83,2949.56
0,3454.0,2949.33,3431.04
0,3527.0,3431.04,3239.01
0,3549.34,3239.01,3524.26
0,3605.4,3524.33,3489.73
0,3587.0,3489.74,3479.53
0,3958.33,3479.79,3910.26
0,3983.65,3910.26,3923.95
0,4208.0,3923.95,3945.88
0,4180.22,3946.63,4173.45
0,4372.72,4173.46,3823.21
0,4034.77,3810.15,3717.91
0,4173.28,3717.92,4075.01
0,4134.05,4075.02,3646.68
0,3879.0,3646.24,3582.1
0,3587.06,3581.81,3282.51
0,3565.71,3282.25,3375.07
0,3441.73,3375.08,2438.92
0,2990.05,2438.92,2768.62
0,2938.54,2767.87,2430.98
0,2485.0,2430.98,2294.87
0,2381.57,2295.45,2096.39
0,2675.0,2096.63,2648.43
0,2750.0,2647.92,2705.11
0,2910.0,2705.1,2884.94
0,2889.74,2884.82,2742.23
0,2762.45,2742.23,2412.1
0,2574.27,2412.34,2278.74
0,2476.42,2278.74,2385.98
0,2720.0,2385.82,2706.15
0,2740.0,2706.15,2634.57
0,2802.99,2634.31,2706.22
0,2891.95,2706.21,2857.25
0,2860.0,2857.25,2689.51
0,2816.87,2689.54,2627.73
0,2745.0,2627.63,2711.92
0,2847.55,2711.92,2592.05
0,2620.99,2592.05,2507.23
0,2626.63,2507.43,2610.18
0,2624.46,2610.2,2471.09
0,2497.99,2471.01,2354.01
0,2454.53,2354.09,2370.74
0,2548.41,2370.64,2509.33
0,2609.17,2509.33,2580.77
0,2640.0,2580.58,2543.54
0,2556.19,2543.55,2367.89
0,2460.5,2368.02,2373.28
0,2378.0,2373.28,2234.09
0,2278.82,2234.09,2164.67
0,2280.01,2165.34,2243.47
0,2260.16,2243.49,1885.49
0,1998.0,1885.27,1879.28
0,2045.0,1879.29,1968.14
0,2036.61,1967.95,1989.52
0,2019.99,1989.53,1808.82
0,1852.8,1808.97,1829.64
0,1984.5,1829.84,1982.28
0,2145.0,1982.27,2084.41
0,2245.0,2084.42,2165.33
0,2287.78,2165.46,2275.68
0,2275.93,2275.68,2106.41
0,2160.0,2106.41,2154.13
0,2240.0,2153.95,2226.99
0,2389.93,2226.99,2322.69
0,2324.64,2322.69,2196.53
0,2350.0,2196.85,2322.5
0,2409.0,2322.51,2316.57
0,2325.6,2316.25,2116.33
0,2189.4,2116.32,2146.99
0,2194.82,2146.99,2110.69
0,2174.0,2110.68,2140.45
0,2167.83,2140.54,2031.58
0,2047.35,2031.57,1940.15
0,2019.18,1940.44,1994.58
0,2042.88,1994.41,1919.51
0,1965.0,1919.54,1876.26
0,1919.19,1876.47,1899.59
0,1993.79,1899.5,1891.64
0,1919.0,1891.65,1818.73
0,1841.34,1818.73,1786.03
